State,2017,2018,2019,2020,2021,2022,2023,2024
Johor,13141,13487,14274,7243,3658,12376,15805,17138
Kedah,13305,14480,14831,10108,4023,11186,13444,14651
Kelantan,9624,9846,10986,6058,1921,6627,7549,10514
Melaka,12625,13123,13979,7275,3878,11757,15559,19128
Negeri Sembilan,10822,12802,13303,7918,5485,11490,14959,17785
Pahang,16491,18111,18498,9905,3405,13189,16456,20174
Pulau Pinang,12643,14450,15411,8929,5061,10003,13128,16605
Perak,20110,17553,21070,13173,4489,14567,17108,21776
Perlis,1414,2156,2088,1193,407,1669,1951,3225
Selangor,25491,30179,33589,19715,10212,21990,27579,34461
Terengganu,12979,13742,14158,7420,3719,10233,11761,14461
Sabah,17792,20360,22035,10337,3815,12589,16080,20592
Sarawak,17670,19380,19793,9393,6511,15465,17901,19626
W.P. Kuala Lumpur,19049,19165,22633,12435,9116,16913,22233,26983
W.P. Labuan,381,545,524,107,54,244,331,450
W.P. Putrajaya,1872,1892,1949,451,223,1306,1900,2557