Country / Region,2019,2020,2021,2022,2023,2024
Singapore,"17,033,066","2,871,340","16,729","8,399,088","14,828,553","18,855,680"
Indonesia,"3,882,666","762,854","13,161","1,601,156","3,479,392","4,145,127"
China,"3,330,129","428,642","7,729","260,079","1,613,312","3,725,894"
Thailand,"2,223,243","545,803","318,245","1,185,459","2,300,158","2,268,182"
Brunei Darussalam,"1,621,344","190,241","4,039","404,087","1,116,211","1,732,119"
India,"846,874","175,104","3,920","360,256","773,221","1,365,387"
Philippines,"576,107","87,950","2,842","203,989","461,787","571,533"
South Korea,"764,882","137,924","3,033","175,553","465,617","553,165"
Australia,"421,267","84,319","1,324","174,365","400,909","447,785"
Chinese Taipei,"419,553","66,165",565,"55,762","311,437","423,117"
United Kingdom,"391,002","72,274","2,702","150,903","306,926","390,035"
Japan,"507,992","89,038","3,116","100,769","277,559","367,182"
Vietnam,"426,043","68,708",586,"185,333","374,181","366,525"
United States,"299,490","54,149","2,036","119,606","257,533","304,880"
France,"159,324","31,792",845,"63,433","132,311","183,872"
Other Countries,"2,142,643","435,075","18,993","827,578","1,865,201","2,261,002"
TOTAL,"35,045,625","6,101,378","399,865","14,267,416","28,964,308","37,961,485"