State of Origin / State Visited,Malaysia,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Pulau Pinang,Perak,Perlis,Selangor,Terengganu,Sabah,Sarawak,W.P. Kuala Lumpur,W.P. Labuan,W.P. Putrajaya
Malaysia,93445.3,9481.1,6854.4,5863.8,6158.4,5987.5,9525.8,4766,10209,1262,9574.4,4918.4,6081.5,5701,6216.3,194.1,651.6
Johor,11279.8,3704.7,196.7,425.3,1528,617,920,221.3,403.3,95.6,1746.8,188.5,168.9,209.9,787.6,13.4,52.9
Kedah,4850.2,133.1,1787.5,276.2,96.2,233.3,248.8,450.1,723.3,130.8,297.1,61.2,32.9,30.2,254.9,7.1,87.5
Kelantan,3115.7,115.9,132.2,978,8.6,106.1,251.9,146.9,222,34.5,259,496.8,28.8,3.6,232.4,3.3,95.8
Melaka,2989.8,459.1,122.6,79.5,266.1,379.1,254.6,106.2,259.2,3.2,378.1,74.9,78.2,27.8,458.3,1.6,41.3
Negeri Sembilan,3608.3,464.8,71.6,258.2,359.6,714.6,459.9,140.5,315,18.3,351.4,136.4,8.8,9.9,256.1,6.8,36.3
Pahang,5745,538.8,122.4,474.4,134.3,221.1,1981.2,119.9,489,25.8,383.8,686.1,61.9,8.7,467.8,5.9,23.8
Pulau Pinang,4612.8,124.8,962,4.8,210.4,67.8,396,523.1,487.1,216.4,354.5,489.9,181.9,1.1,539,8,46
Perak,6827.5,282.4,659.7,245.4,202.4,186.8,432.2,384.4,1887,102.5,1053.9,256.3,77.6,37.4,909,20.3,90.3
Perlis,933.2,20.5,238.6,34.6,6.8,13.4,75.1,197.3,97.4,51,73.1,49.4,4.2,3.1,56.9,0.8,11
Selangor,21506.2,1837.8,1793.6,1366,1698.8,1524.3,1637,1199.2,3336.2,461.2,2953.3,973.6,770.9,588.1,1291.2,9.7,65.4
Terengganu,1574.3,12.1,7.9,346.7,10.5,19.3,293.9,34.8,19.1,5.5,224.9,487.7,26.8,2.7,74.3,5,3
Sabah,5323.4,27.4,34.3,7.9,28.1,6.9,11.5,86.5,6,4.4,200.9,10.2,4132.3,386.6,277.9,64.2,38.4
Sarawak,5067.5,41.5,72.6,23.4,7,8.1,12.6,41.9,5.6,13.2,211.8,22.4,247.5,4055.8,246,27.3,30.9
W.P. Kuala Lumpur,15233.5,1689.7,624.9,1289.4,1520.4,1815.3,2485.9,1088.2,1881.6,97.9,1026.4,954.5,106,304.5,338.1,4,6.8
W.P. Labuan,238.3,0.1,1.8,1.9,0.2,1.3,21,0.5,1.2,0.6,3.5,1.8,151.3,16.2,13.7,15.2,7.9
W.P. Putrajaya,539.9,28.4,26.1,52.1,80.8,73.1,44.2,25.3,76,1.4,55.9,28.7,3.4,15.3,13.2,1.6,14.4